"116.3420837,39.98305681"
"116.3421042,39.98305785"
"116.3421248,39.98305823"
"116.3421451,39.9830581"
"116.3421704,39.98305948"
"116.3421984,39.98306286"
"116.3422434,39.98307695"
"116.3422701,39.98307633"
"116.3422965,39.98307338"
"116.3423302,39.98307561"
"116.3423513,39.98307882"
"116.3423677,39.98308985"
"116.3423849,39.98308872"
"116.3424036,39.98309492"
"116.3424331,39.98309948"
"116.3424654,39.98310137"
"116.342507,39.98311078"
"116.3425504,39.98311337"
"116.3425927,39.98310578"
"116.3426336,39.98310969"
"116.3426703,39.98310809"
"116.3427048,39.98310749"
"116.342741,39.98310889"
"116.3427781,39.98311063"
"116.3428153,39.9831112"
"116.3428432,39.98311075"
"116.3428638,39.98311129"
"116.3428802,39.98311165"
"116.3428962,39.98310985"
"116.3429176,39.98311339"
"116.3429652,39.98311698"
"116.3429847,39.98311335"
"116.3430009,39.98311155"
"116.343018,39.98311041"
"116.3430332,39.98310778"
"116.3430507,39.98310548"
"116.3430688,39.98310451"
"116.3430891,39.98310371"
"116.3431147,39.98310576"
"116.3431394,39.98310531"
"116.3431593,39.98310601"
"116.343195,39.98309975"
"116.3432151,39.98309778"
"116.3432343,39.98309765"
"116.3432505,39.98309752"
"116.3432667,39.98309805"
"116.3432841,39.98309758"
"116.3433029,39.98309745"
"116.3433253,39.98309933"
"116.343337,39.98309735"
"116.3433537,39.98309455"
"116.343388,39.98309261"
"116.3434215,39.98309001"
"116.343462,39.98310225"
"116.3435104,39.98310617"
"116.3435438,39.9831014"
"116.3435766,39.98310097"
"116.3435766,39.98310097"
"116.3436501,39.98310444"
"116.3436873,39.98310817"
"116.3437241,39.98311491"
"116.3437585,39.98312214"
"116.3437912,39.98312804"
"116.3438285,39.98313277"
"116.3438567,39.98313116"
"116.3438833,39.98313004"
"116.3439165,39.98313294"
"116.3439467,39.98313383"
"116.3439644,39.9831332"
"116.343981,39.98313339"
"116.3439987,39.98313576"
"116.3440176,39.9831383"
"116.344045,39.98314335"
"116.3440684,39.98314723"
"116.3440902,39.98314643"
"116.3440902,39.98314643"
"116.3441397,39.98315519"
